hello .	你好。
how are you ?	你好吗？
i am a student .	我是一名学生。
i love natural language processing .	我喜欢自然语言处理。
transformer is a powerful neural network architecture .	Transformer是一种强大的神经网络架构。
attention mechanism helps the model focus on important words .	注意力机制帮助模型关注重要的词。
machine translation converts one language into another language .	机器翻译把一种语言转换成另一种语言。
deep learning has changed artificial intelligence .	深度学习改变了人工智能。
this course is very interesting .	这门课程很有趣。
we need to train a translation model .	我们需要训练一个翻译模型。
the weather is nice today .	今天天气很好。
please open the window .	请打开窗户。
thank you very much .	非常感谢你。
where is the library ?	图书馆在哪里？
the model learns from bilingual sentence pairs .	模型从双语句对中学习。
beam search can improve translation quality .	束搜索可以提升翻译质量。
positional encoding provides word order information .	位置编码提供词序信息。
the decoder generates chinese tokens step by step .	解码器逐步生成中文标记。
we evaluate the system with bleu score .	我们使用BLEU分数评估系统。
large datasets usually produce better translation results .	大规模数据集通常会产生更好的翻译结果。
good morning .	早上好。
good evening .	晚上好。
see you tomorrow .	明天见。
what is your name ?	你叫什么名字？
my name is li hua .	我的名字是李华。
nice to meet you .	很高兴认识你。
please speak slowly .	请说慢一点。
could you repeat that sentence ?	你能重复那句话吗？
i do not understand this word .	我不理解这个单词。
this book is useful .	这本书很有用。
the classroom is on the second floor .	教室在二楼。
the teacher explains the algorithm clearly .	老师清楚地解释了这个算法。
students practice translation every week .	学生每周练习翻译。
we write code in python .	我们用Python写代码。
the program reads a tsv file .	程序读取一个TSV文件。
each line contains an english sentence and a chinese sentence .	每一行包含一个英文句子和一个中文句子。
the tokenizer splits text into subword units .	分词器把文本切分成子词单元。
subword vocabulary reduces unknown tokens .	子词词表减少未知标记。
the training data should be clean and aligned .	训练数据应该干净并且对齐。
noisy sentence pairs hurt model quality .	有噪声的句对会损害模型质量。
validation loss helps us choose the best checkpoint .	验证损失帮助我们选择最好的检查点。
early stopping can reduce overfitting .	早停可以减少过拟合。
gradient clipping keeps training stable .	梯度裁剪保持训练稳定。
label smoothing makes the model less confident .	标签平滑让模型不要过度自信。
dropout improves generalization .	Dropout提升泛化能力。
the optimizer updates model parameters .	优化器更新模型参数。
the learning rate changes during training .	学习率在训练过程中变化。
warmup steps are important for transformer training .	预热步数对Transformer训练很重要。
the encoder reads the source sentence .	编码器读取源句子。
the decoder predicts the target sentence .	解码器预测目标句子。
self attention captures relationships between words .	自注意力捕获词语之间的关系。
cross attention connects the decoder with the encoder .	交叉注意力把解码器和编码器连接起来。
multi head attention learns different representations .	多头注意力学习不同的表示。
the feed forward network transforms hidden states .	前馈网络转换隐藏状态。
layer normalization improves numerical stability .	层归一化提升数值稳定性。
the embedding layer maps tokens to vectors .	嵌入层把标记映射为向量。
shared embeddings reduce the number of parameters .	共享嵌入减少参数数量。
larger models need more data .	更大的模型需要更多数据。
small datasets are useful for debugging .	小数据集适合调试。
real applications require much larger corpora .	真实应用需要大得多的语料。
we can collect parallel sentences from public datasets .	我们可以从公开数据集中收集平行句子。
ted talks contain many bilingual examples .	TED演讲包含许多双语样例。
news articles provide formal translation data .	新闻文章提供正式的翻译数据。
technical documents provide domain specific terms .	技术文档提供领域专用术语。
data augmentation can increase sentence diversity .	数据增强可以增加句子多样性。
back translation is a common augmentation method .	回译是一种常见的数据增强方法。
the model should translate meaning rather than words only .	模型应该翻译含义，而不只是翻译单词。
word order is different between english and chinese .	英语和中文的语序不同。
english uses spaces between words .	英语在单词之间使用空格。
chinese text usually has no spaces between characters .	中文文本通常在字符之间没有空格。
punctuation should also be handled correctly .	标点符号也应该被正确处理。
the translation should be fluent and accurate .	译文应该流畅且准确。
beam search keeps several candidate translations .	束搜索保留多个候选译文。
length penalty prevents very short outputs .	长度惩罚防止输出过短。
greedy decoding is faster but often less accurate .	贪心解码更快但通常不够准确。
we compare hypotheses with reference translations .	我们把候选译文和参考译文进行比较。
bleu measures n gram overlap .	BLEU衡量n元语法重合度。
automatic metrics cannot replace human evaluation .	自动指标不能替代人工评估。
human evaluation checks adequacy and fluency .	人工评估检查充分性和流畅性。
the system saves translations to an output file .	系统把译文保存到输出文件。
the checkpoint stores learned weights .	检查点保存学到的权重。
the tokenizer file stores the vocabulary and merges .	分词器文件保存词表和合并规则。
we can resume experiments from saved checkpoints .	我们可以从保存的检查点继续实验。
please close the door .	请关上门。
the train arrives at eight o clock .	火车八点到达。
i would like a cup of tea .	我想要一杯茶。
this restaurant is near the station .	这家餐馆在车站附近。
the meeting starts in ten minutes .	会议十分钟后开始。
please send me the report .	请把报告发给我。
the report summarizes the experiment .	报告总结了实验。
our results are better after adding more data .	加入更多数据后，我们的结果更好了。
the new model converges faster .	新模型收敛更快。
training on gpu is much faster than training on cpu .	在GPU上训练比在CPU上训练快得多。
batch size controls how many examples are processed together .	批大小控制一次处理多少样例。
gradient accumulation simulates a larger batch .	梯度累积模拟更大的批量。
mixed precision can save memory on modern gpus .	混合精度可以在现代GPU上节省显存。
random seed makes experiments easier to reproduce .	随机种子让实验更容易复现。
we should keep the validation set separate .	我们应该保持验证集独立。
training and validation data must not be mixed .	训练数据和验证数据不能混在一起。
the model may memorize tiny datasets .	模型可能会记住很小的数据集。
more diverse examples improve generalization .	更多样的样例提升泛化能力。
this sentence is short .	这个句子很短。
this sentence is a little longer than the previous one .	这个句子比前一个句子稍微长一些。
the project is designed for learning machine translation .	这个项目是为学习机器翻译而设计的。
we improve the baseline step by step .	我们一步一步改进基线。
the final demo should show training and inference .	最终演示应该展示训练和推理。
translation quality depends on data model and decoding .	翻译质量取决于数据、模型和解码。
